"","Unit_X","Min_X","Max_X","Output_TR"
"3","cm",2,9,"log"
"4","cm",2,9,"log"
"10","cm",15,40,"log10"
"11","in",1,26,"log"
"72","in",1,26,"log"
"73","cm",3.4,16.2,"log"
"76","in",3,12,"log"
"78","cm",4,26,"log"
"79","in",1,3,"log"
"81","cm",1,10,"log"
"82","cm",1,10,"log"
"89","cm",5,124,"log"
"90","cm",5,124,"log"
"91","cm",3,26,"log"
"93","cm",9,26,"log"
"95","cm",1.2,45.5,"Log10"
"150","cm",1,8,"log10"
"152","in",0.1,1,"log"
"154","in",0.1,1,"log"
"182","cm",1,30,"log"
"183","cm",1.5,57.5,"Log10"
"185","cm",36,79,"log10"
"228","cm",1,63,"log10"
"268","cm",2,7,"log"
"269","cm",1,23,"log"
"270","cm",1,23,"log"
"271","cm",1,23,"log"
"272","cm",1,23,"log"
"274","in",0.1,1,"log"
"381","cm",2,40,"log"
"440","cm",2,34,"log"
"549","cm",1,10,"log10"
"584","mm",10,77,"log"
"585","in",0.1,1,"log"
"587","cm",2,99,"log"
"588","cm",2,99,"log"
"589","cm",2,99,"log"
"590","cm",2,99,"log"
"591","cm",2,99,"log"
"592","cm",2,99,"log"
"593","cm",2,99,"log"
"594","cm",2,99,"log"
"595","cm",2,99,"log"
"596","cm",2,99,"log"
"597","cm",2,99,"log"
"598","cm",2,99,"log"
"599","cm",2,99,"log"
"600","cm",2,99,"log"
"601","cm",2,99,"log"
"602","cm",2,99,"log"
"603","cm",2,99,"log"
"604","cm",2,99,"log"
"605","cm",2,99,"log"
"698","cm",5,25,"log"
"699","cm",7,98,"log"
"725","cm",0,7,"log10"
"726","cm",4,36,"log10"
"729","cm",1,23,"log"
"730","cm",1,23,"log"
"731","cm",1,23,"log"
"732","in",1,3,"log10"
"733","in",1,3,"log10"
"734","in",1,3,"log10"
"736","cm",14.3,36.9,"log"
"739","in",0.1,1,"log"
"741","in",0.1,1,"log"
"742","cm",2,16,"log"
"795","cm",5,25,"log"
"797","in",1,3,"log10"
"826","cm",12,44,"log"
"831","cm",1,15,"log10"
"834","cm",1.2,45.5,"Log10"
"835","cm",1.3,43.5,"Log10"
"836","cm",2,34,"log"
"837","cm",1.3,43.5,"Log10"
"838","in",1,26,"log"
"841","cm",1,8,"Log"
"842","cm",5,40,"log"
"846","cm",1.2,45.5,"Log10"
"848","cm",0,25,"log"
"852","in",1,20,"log"
"854","cm",0,6,"log10"
"861","cm",7,63,"log10"
"862","cm",6.5,135,"Log"
"863","cm",6.5,135,"Log"
"870","cm",7,35,"log"
"871","cm",2,14,"log"
"872","cm",2,14,"log"
"873","cm",5,18,"log"
"874","cm",5,18,"log"
"875","cm",1,31,"log10"
"877","in",1,20,"log"
"878","cm",1.5,39.8,"Log10"
"879","in",1,20,"log"
"880","cm",0,7,"log10"
"941","cm",1,20,"log10"
"942","cm",1.2,45.5,"Log10"
"943","cm",1.5,29.9,"Log10"
"966","cm",1.6,15.5,"log"
"968","cm",5,124,"log"
"969","cm",5,124,"log"
"970","cm",10,52,"log"
"971","cm",10,52,"log"
"972","cm",10,52,"log"
"973","cm",10,52,"log"
"974","cm",10,52,"log"
"975","cm",10,52,"log"
"978","cm",6.5,135,"Log"
"979","cm",6.5,135,"Log"
"1003","cm",2,15,"log10"
"1004","cm",1,23,"log"
"1005","cm",1,23,"log"
"1006","cm",1,23,"log"
"1009","cm",2,8,"log"
"1010","cm",2,8,"log"
"1060","cm",2,15,"log10"
"1062","in",3,12,"log"
"1063","cm",11,58,"log10"
"1064","cm",1,10,"log10"
"1096","cm",2,10,"log"
"1097","cm",2,10,"log"
"1098","in",1,6,"log"
"1099","cm",1.2,45.5,"Log10"
"1160","cm",3.2,20.3,"log"
"1176","cm",2,14,"log"
"1177","cm",2,14,"log"
"1184","in",1,26,"log"
"1185","cm",4,63,"log10"
"1187","cm",5,25,"log"
"1189","in",1,26,"log"
"1191","cm",0,15,"log"
"1194","cm",6,31,"log"
"1238","cm",4,25,"log"
"1241","cm",10,56,"log10"
"1242","cm",20,52,"log10"
"1244","cm",3,112,"log"
"1245","in",0.1,1,"log"
"1246","in",0.1,1,"log"
"1247","in",0.1,1,"log"
"1251","cm",7,78,"log"
"1252","cm",7,78,"log"
"1253","cm",7,78,"log"
"1254","cm",7,78,"log"
"1255","cm",7,78,"log"
"1256","cm",7,78,"log"
"1257","cm",7,78,"log"
"1258","cm",7,78,"log"
"1259","cm",7,78,"log"
"1260","cm",7,78,"log"
"1261","cm",7,78,"log"
"1262","cm",7,78,"log"
"1263","cm",7,78,"log"
"1264","cm",7,78,"log"
"1265","cm",7,78,"log"
"1266","cm",7,78,"log"
"1267","cm",7,78,"log"
"1268","cm",7,78,"log"
"1269","cm",7,78,"log"
"1271","cm",1,31,"log"
"1272","cm",1,31,"log"
"1273","cm",1,31,"log"
"1297","cm",10,40,"log"
"1432","cm",16,49,"log10"
"1433","cm",16,49,"log10"
"1441","cm",5,40,"log"
"1488","cm",1,32,"log"
"1489","cm",1,32,"log"
"1490","cm",1,32,"log"
"1491","cm",17.8,57,"log"
"1492","cm",6,52,"log10"
"1493","in",1,9,"log"
"1494","cm",1.3,5.1,"log"
"1495","cm",3,70,"log"
"1496","cm",3,70,"log"
"1497","cm",3,70,"log"
"1499","cm",1,30,"log"
"1500","mm",3,70,"log"
"1502","cm",30,100,"log"
"1506","cm",2,15,"log10"
"1508","cm",23,33,"log"
"1509","in",0.1,1,"log"
"1521","in",4,8,"log10"
"1522","in",4,8,"log10"
"1523","in",4,8,"log10"
"1533","in",1,9,"log"
"1534","cm",0,30,"log"
"1535","cm",8,36,"log"
"1537","cm",0.19,3.86,"log10"
"1538","cm",4,26,"log"
"1539","cm",3,25,"log"
"1540","cm",1.2,45.5,"Log10"
"1542","in",1,10,"log10"
"1544","cm",4.5,120,"log"
"1545","in",1,10,"log10"
"1547","cm",2,23,"log"
"1548","cm",1.5,39.8,"Log10"
"1549","cm",1,5,"log"
"1550","cm",1,5,"log"
"1551","cm",0,30,"log"
"1563","cm",6.5,135,"Log"
"1564","cm",6.5,135,"Log"
"1565","cm",10,40,"log10"
"1566","cm",5,33,"log"
"1570","cm",2,10,"log"
"1571","cm",2,10,"log"
"1578","cm",1,20,"log10"
"1591","cm",1,63,"log10"
"1592","cm",2,10,"log"
"1594","cm",18,42,"log"
"1596","cm",2,26,"log"
"1597","cm",2,26,"log"
"1601","cm",4,36,"log10"
"1602","cm",2,30,"log"
"1603","cm",2,32,"log"
"1604","cm",1.5,38.2,"log"
"1605","cm",2,8,"log"
"1606","cm",2,8,"log"
"1608","cm",2,13,"log"
"1652","cm",5,40,"log"
"1654","in",0.1,1,"log"
"1656","cm",0,8,"log10"
"1658","cm",30,70,"log10"
"1659","cm",8,24,"log10"
"1730","cm",5,37,"log"
"1731","cm",11,58,"log10"
"1736","in",0.1,1,"log"
"1737","cm",0,8,"log"
"1755","cm",2,30,"log"
"1756","cm",4,10,"log10"
"1824","cm",1,5,"log"
"1825","cm",1,5,"log"
"1862","cm",2,34,"log"
"1863","cm",2,9,"log"
"1864","cm",2,9,"log"
"1870","cm",2,30,"log10"
"1871","cm",8,28,"log"
"1872","cm",1.3,43.5,"Log10"
"1914","cm",1,4.8,"log"
"1919","cm",4,63,"log10"
"1920","cm",0.28,1.25,"log10"
"1921","cm",15,43,"log10"
"1922","cm",0,6,"log10"
"1923","cm",20,52,"log10"
"1924","cm",4,35,"log10"
"1929","cm",3.2,20.3,"log"
"1931","cm",2,32,"log"
"1932","cm",5,60.9,"log"
"1997","cm",0,38,"log"
"1998","cm",6,34,"log"
"2003","cm",1.2,45.5,"Log10"
"2004","cm",1.2,45.5,"Log10"
"2005","in",1,20,"log"
"2011","cm",2,15,"log10"
"2013","cm",1,18,"log10"
"2015","cm",3,29,"log"
"2017","in",2,22,"log10"
"2018","in",2,22,"log10"
"2019","in",2,22,"log10"
"2021","cm",0.99,7.8,"log"
"2022","cm",0.99,7.8,"log"
"2145","cm",1.3,43.5,"Log10"
"2147","cm",1.3,43.5,"Log10"
"2148","cm",3,18,"log"
"2194","cm",2,33,"log"
"2224","cm",4,88,"log"
"2225","cm",1,23,"log"
"2226","cm",1,23,"log"
"2227","cm",1,23,"log"
"2228","cm",1,23,"log"
"2229","cm",0,198,"log"
"2230","cm",1,34,"log10"
"2231","cm",1,31,"log10"
"2290","cm",0,199,"log"
"2291","cm",1.5,57.5,"Log10"
"2292","cm",0,15,"log"
"2297","cm",0,12,"log"
"2298","cm",1,20,"log10"
"2353","cm",1,34,"log"
"2359","cm",1,9,"log"
"2360","cm",1,9,"log"
"2361","cm",0,12,"log"
"2362","cm",1,13,"log"
"2368","cm",1,26,"log"
"2369","cm",1,26,"log"
"2370","cm",1,26,"log"
"2371","cm",1,23,"log10"
"2530","mm",4,60,"log"
"2531","in",3,12,"log"
"2532","in",1,20,"log"
"2533","cm",1,79,"log"
"2534","cm",1,63,"log10"
"2535","cm",1,23,"log"
"2536","cm",2,31,"log"
"2542","cm",1,44,"log"
"2543","cm",1,44,"log"
"2545","in",1,20,"log"
"2549","cm",2.5,40,"log"
"2551","cm",31,90,"log10"
"2552","cm",31,90,"log10"
"2553","in",0.1,1,"log"
"2554","in",0.1,1,"log"
"2555","in",1,26,"log"
"2556","cm",1,34,"log"
"2557","cm",6,52,"log10"
"2630","cm",44,76,"log10"
"2631","cm",44,76,"log10"
"2633","cm",1.5,29.9,"Log10"
"2637","cm",2,10,"log"
"2639","cm",7.5,50,"log"
"2640","cm",6.5,135,"Log"
"2641","cm",6.5,135,"Log"
"2644","cm",1,15,"log10"
"2645","in",0.1,1,"log"
"2646","mm",3,75,"log"
"2647","in",0.1,1,"log"
"2648","mm",1,138,"log"
"2679","cm",13,39,"log10"
"2684","in",4,12,"log10"
"2685","in",4,12,"log10"
"2686","in",4,12,"log10"
"2687","cm",3.2,8.3,"log"
"2691","cm",1,11,"log"
"2695","cm",1,34,"log"
"2731","in",2,28,"log10"
"2733","cm",3,33,"log"
"2734","cm",2,28,"log"
"2736","cm",8,52,"log10"
"2740","cm",1,50,"log"
"2741","cm",1,50,"log"
"2747","in",0.1,1,"log"
"2748","cm",4,33,"log10"
"2750","cm",0,27,"log"
"2751","cm",0,27,"log"
"2752","cm",6.5,135,"Log"
"2753","cm",6.5,135,"Log"
"2758","cm",1,15,"log10"
"2759","cm",4.5,120,"log"
"2822","cm",6,11,"log"
"2824","cm",1,14,"log"
"2830","cm",10,56,"log10"
"2833","cm",3.5,9.1,"log"
"2834","cm",4,21,"log"
"3025","cm",0,9,"log10"
"3026","cm",2,7,"log"
"3029","cm",3,30,"log"
"3061","cm",1.1,3,"log"
"3152","cm",6.5,135,"Log"
"3153","cm",6.5,135,"Log"
"3155","cm",5.5,40,"log"
"3156","cm",5.9,49.4,"log"
"3157","cm",8,40,"log10"
"3159","cm",0,30,"log"
"3160","cm",1.3,43.5,"Log10"
"3161","in",1,20,"log"
"3163","cm",1,31,"log"
"3164","cm",1,10,"log"
"3194","cm",2,60,"log"
"3195","cm",4,10,"log10"
"3203","cm",5,25,"log"
"3204","cm",6.9,37.2,"log"
"3206","cm",1,14,"log"
"3207","cm",1,14,"log"
"3208","cm",0.9,2.8,"log"
"3209","cm",0.9,2.8,"log"
"3212","cm",1.3,43.5,"Log10"
"3213","in",1,9,"log"
"3214","in",0.1,1,"log"
"3215","mm",5,51,"log"
"3216","cm",0,28,"log"
"3217","cm",0,28,"log"
"3271","cm",50,120,"log"
"3272","cm",50,120,"log"
"3282","cm",7,25,"log"
"3284","cm",1,24,"log"
"3285","cm",1,24,"log"
"3286","in",4,13,"log"
"3287","cm",4,35,"log10"
"3289","cm",0,25,"log"
"3338","in",0.1,1,"log"
"3339","in",0.1,1,"log"
"3340","cm",1.3,43.5,"Log10"
"3356","cm",2,8,"log"
"3357","cm",2,8,"log"
"3358","cm",5,40,"log"
"3359","cm",8,40,"log10"
"3360","cm",6,11,"log"
"3361","cm",1,42,"log"
"3362","cm",1,42,"log"
"3364","cm",1.4,26,"log"
"3365","cm",2,70,"log"
"3366","cm",2,70,"log"
"3367","cm",2,70,"log"
"3368","cm",1,32,"log"
"3369","cm",3,36,"log10"
"3371","cm",4,20,"log"
"3373","cm",8,36,"log"
"3385","mm",5,60,"log"
"3387","in",0.1,1,"log"
"3388","in",0.1,1,"log"
"3389","cm",0,15,"log"
"3390","cm",0,15,"log"
"3391","cm",1,8,"log"
"3392","cm",1,8,"log"
"3394","cm",0,15,"log"
"3406","cm",2,32,"log10"
"3407","cm",5,38,"log"
"3408","cm",9,27,"log"
"3409","cm",4,33,"log10"
"3410","cm",3,38,"log10"
"3411","cm",1,14,"log"
"3421","cm",8,52,"log10"
"3422","in",1,10,"log"
"3486","in",0.1,1,"log"
"3487","in",1,4,"log10"
"3488","in",1,4,"log10"
"3489","in",1,4,"log10"
"3490","in",3,14,"log10"
"3518","cm",1,3,"log"
"3519","cm",1,26,"log"
"3520","cm",5,35,"log"
"3522","cm",7,63,"log10"
"3523","cm",1,7,"log10"
