,Var1,Freq
448,Whole tree (above stump),1410
278,Stem + branches (live),1373
3,Above-ground biomass,688
451,Whole tree (aboveground),390
84,"Branches,Stump and Trunk",286
306,Stem+bark+leaves+branches,266
24,"Bark,Branches,Leaves,Stump and Trunk",264
307,Stem+bark+leaves+branches+stump,209
6,Aboveground biomass,152
22,"Bark,Branches,Leaves,Roots,Stump and Trunk",117
304,Stem+bark+branches,111
353,Total aboveground biomass,88
362,total biomass,88
100,Complete tree (aboveground - excluded fruits),76
346,Total above ground,65
2,above ground biomass,64
376,Total tree biomass,57
347,Total above ground biomass,54
363,Total biomass,43
352,total aboveground biomass,38
26,"Bark,Branches,Stump and Trunk",37
372,Total overbark,32
453,Whole tree dry weight,30
82,"Branches,Leaves,Stump and Trunk",24
1,Above ground,22
344,total,21
305,Stem+bark+branches+stump,18
345,Total,16
350,Total Abovegorund Biomass,16
360,total AGB,14
10,all,13
310,Stem+branches,12
370,Total ovendry weight,12
456,Whole tree weight,12
348,Total Above-ground,11
357,Total aboveground woody biomass,10
355,Total aboveground biomass without leaves,9
351,total aboveground,8
354,Total Aboveground Biomass,8
23,"Bark,Branches,Leaves,Roots,Stump,Trunk andTwigs",7
447,Whole tree,7
455,Whole tree ovendry weight,7
4,Above-ground weight,5
81,"Branches,Leaves,Roots,Stump and Trunk",5
25,"Bark,Branches,Leaves,Stump,Trunk and Twigs",3
311,Stem+branches+leaves,3
5,aboveground,2
40,Biomass of tree,2
118,Dry standing biomass,1
271,Steam+leaves+thin branches,1
309,Stem+branch biomass,1
338,the mass of the stem within the crown + branch mass in crown (excluded epicormics),1
384,Tree above-ground biomass,1
390,Tree dry biomass,1
399,treeDBH<40,1
452,Whole tree biomass,1